Time (m),Photodiode voltage (V), Photodiode stdev (V), Temp. Setpoint (C), Temp. (C), Thermometer voltage (V), Thermometer stdev (V), Output, Output stdev (V),  Temp. Loop Index0.5,1.2944898924324661,0.0033440041485933774,30.0,25.180130685848088,0.00966326590975502,1.6876546910811807e-05,100.0,0.0,0
1.0,1.2867670136038214,0.002371379069529456,30.0,25.179628941373753,0.009599997082141914,5.302179311416594e-05,100.0,0.0,0
1.5,1.2757514344993979,0.003157112116434284,30.0,25.177363741911584,0.009314360624517907,9.348161696170705e-05,100.0,0.0,0
2.0,1.2503677087370306,0.004391582103362933,30.0,25.175099657437137,0.009028864764288594,8.993834133859784e-05,100.0,0.0,0
2.5,1.234083809191361,0.002081625795262267,30.0,25.17230643335995,0.008676645613576502,9.471170717913926e-05,100.0,0.0,0
3.0,1.211633580038324,0.003844579437826221,30.0,25.17014288960621,0.008403827707668898,9.711025604609247e-05,100.0,0.0,0
3.5,1.1876268016640097,0.004458002275170061,42.0,25.182765257962817,0.00999547941182185,0.005886145393046656,100.0,0.0,0
4.0,1.1757730806712061,0.0011374782770872116,42.0,26.369130500211863,0.15959341588665288,0.06940089751243143,100.0,0.0,0
4.5,1.1572740918491036,0.002376663065731358,42.0,28.23809563709389,0.39526563373662416,0.06649536855252838,100.0,0.0,0
5.0,1.1388349703047425,0.0011670280882585976,42.0,30.036954254547204,0.6220975802549058,0.06387912327250349,100.0,0.0,0
5.5,1.1157262010965496,0.0016975302999099912,42.0,31.755332075209875,0.8387810828564501,0.06113056090070036,100.0,0.0,0
6.0,1.1047704892698675,0.0015014636871675561,42.0,33.40891734797532,1.0472943937504249,0.05911714483907908,100.0,0.0,0
6.5,1.0868701732251793,0.0008381418883800507,42.0,35.00742151997828,1.2488621041502312,0.056917701289248494,100.0,0.0,0
7.0,1.069927733624354,0.0015251475413107377,42.0,36.50555925703877,1.4377738372641005,0.050672287970170815,100.0,0.0,0
7.5,1.0584930835757405,0.0018315865045754503,42.0,37.73176247103975,1.5923952506204142,0.039550621005496854,100.0,0.0,0
8.0,1.0443644060287625,0.0027013347001676184,42.0,38.801388211188296,1.7272726035873978,0.03992026827442653,100.0,0.0,0
8.5,1.0337080305907875,0.0014713228504575563,42.0,39.96648207737447,1.874188268320221,0.04452656579716165,100.0,0.0,0
9.0,1.022273380542174,0.002596473582762467,42.0,41.22259167185794,2.032580807674065,0.04601536971316766,88.46475873454646,15.119928301538346,0
9.5,1.0043131972197443,0.0024691169871095212,42.0,42.43603009880195,2.185592610654703,0.04035366333545583,11.72168339200578,23.888163573482927,0
